Simulation Number,comboID,Your revenue,Perfect foresight strategy,Difference (%)
298,297,108810,116370,6.5
299,298,71388,86448,17.4
300,299,94446,98970,4.6
301,300,104718,118218,11.4
302,301,74898,88536,15.4
303,302,70218,85608,18.0
304,303,98532,102684,4.0
305,304,104364,114438,8.8
306,305,77118,87636,12.0
307,306,100554,117048,14.1
308,307,69360,83976,17.4
309,308,81462,92040,11.5
310,309,105000,111114,5.5
311,310,50388,64272,21.6
312,311,101082,112110,9.8
313,312,104328,120000,13.1
314,313,97824,114948,14.9
315,314,105282,117660,10.5
316,315,98436,101628,3.1
317,316,104754,110250,5.0
318,317,97002,102684,5.5
319,318,99732,114810,13.1
320,319,91122,99810,8.7
321,320,95622,114042,16.2
322,321,55668,67092,17.0
323,322,101592,102618,1.0
324,323,82008,91536,10.4
325,324,104166,115032,9.4
326,325,105282,120000,12.3
327,326,54912,67368,18.5
328,327,89340,98172,9.0
329,328,90312,103320,12.6
330,329,85326,91320,6.6
331,330,89148,105888,15.8
332,331,88422,97092,8.9
333,332,100020,101208,1.2
334,333,78738,87348,9.9
335,334,51978,65592,20.8
336,335,98964,109902,10.0
337,336,93438,99216,5.8
338,337,83538,86976,4.0
339,338,89346,107322,16.7
340,339,69924,77136,9.3
341,340,62202,70944,12.3
342,341,102246,107370,4.8
343,342,95652,98340,2.7
344,343,95670,98658,3.0
345,344,101772,113292,10.2
346,345,97278,108078,10.0
347,346,93210,106404,12.4
348,347,49470,58788,15.9
349,348,94962,115140,17.5
350,349,49800,57528,13.4
351,350,83940,102036,17.7
352,351,82098,104532,21.5
353,352,87612,93492,6.3
354,353,76488,85206,10.2
355,354,101340,117990,14.1
356,355,101400,110820,8.5
357,356,57648,68664,16.0
358,357,88932,92976,4.3
359,358,93168,109386,14.8
360,359,85944,90900,5.5
361,360,91884,113652,19.2
362,361,88992,115200,22.8
363,362,80496,94404,14.7
364,363,83640,112572,25.7
365,364,77784,94824,18.0
366,365,85962,98508,12.7
367,366,109446,111240,1.6
368,367,110136,115656,4.8
369,368,78762,92664,15.0
370,369,110340,120000,8.1
371,370,108624,116016,6.4
372,371,101862,104442,2.5
373,372,83514,94416,11.5
374,373,83214,92904,10.4
375,374,106650,108648,1.8
376,375,101442,103416,1.9
377,376,101688,107376,5.3
378,377,105426,115122,8.4
379,378,108984,120000,9.2
380,379,75768,89736,15.6
381,380,59232,75396,21.4
382,381,73548,86604,15.1
383,382,95940,100212,4.3
384,383,98448,105426,6.6
385,384,93330,103404,9.7
386,385,22644,30708,26.3
387,386,93636,98424,4.9
388,387,62616,76812,18.5
389,388,59730,73860,19.1
390,389,90924,97062,6.3
391,390,91896,97080,5.3
392,391,90708,99912,9.2
393,392,51204,68064,24.8
394,393,83658,93636,10.7
395,394,105174,110328,4.7
396,395,90294,95250,5.2
397,396,89748,93852,4.4
398,397,95244,106452,10.5
399,398,97146,115902,16.2
400,399,69030,78456,12.0
401,400,102210,105810,3.4
402,401,49002,62496,21.6
403,402,99756,103458,3.6
404,403,87996,94296,6.7
405,404,94692,103890,8.9
406,405,94044,107502,12.5
407,406,92136,103962,11.4
408,407,94668,112932,16.2
409,408,84594,97884,13.6
410,409,101514,104922,3.2
411,410,99072,100176,1.1
412,411,76248,84636,9.9
413,412,78474,85488,8.2
414,413,92562,98388,5.9
