comboID,mean,std,count,ttest_p_value,wilcoxon_p_value,mean_diff_from_best,missing_sim_ratio,tag
654,10.075,6.49172550251472,4,,,,0.0,Insufficient Data
76,10.075,3.311973228555247,4,,,,0.0,Insufficient Data
381,10.075000000000001,6.332653472281584,4,,,,0.0,Insufficient Data
215,10.225,4.016113378213652,4,,,,0.0,Insufficient Data
272,10.225,3.320015060206807,4,,,,0.0,Insufficient Data
632,10.25,6.807104132203844,4,,,,0.0,Insufficient Data
390,10.25,3.36699668349505,4,,,,0.0,Insufficient Data
323,10.25,3.294945624235196,4,,,,0.0,Insufficient Data
535,10.25,4.740253157796532,4,,,,0.0,Insufficient Data
173,10.275,7.559265837368072,4,,,,0.0,Insufficient Data
357,10.275,4.100711320409342,4,,,,0.0,Insufficient Data
489,10.3,4.473626418615365,4,,,,0.0,Insufficient Data
161,10.3,2.765260686927485,4,,,,0.0,Insufficient Data
106,10.325,7.067472438337957,4,,,,0.0,Insufficient Data
609,10.375,3.8482680086847725,4,,,,0.0,Insufficient Data
267,10.375,7.950419276155609,4,,,,0.0,Insufficient Data
537,10.375,3.019243834693272,4,,,,0.0,Insufficient Data
533,10.4,4.263801121065569,4,,,,0.0,Insufficient Data
149,10.4,10.805245639657311,4,,,,0.0,Insufficient Data
404,10.425,4.920958578705305,4,,,,0.0,Insufficient Data
260,10.45,1.2476644848141945,4,,,,0.0,Insufficient Data
333,10.45,3.4024500976012373,4,,,,0.0,Insufficient Data
580,10.45,3.7598758844763296,4,,,,0.0,Insufficient Data
117,10.5,1.3038404810405309,4,,,,0.0,Insufficient Data
658,10.5,9.086620200419222,4,,,,0.0,Insufficient Data
627,10.525,3.699887385673606,4,,,,0.0,Insufficient Data
655,10.55,1.9052558883257649,4,,,,0.0,Insufficient Data
239,10.55,0.36968455021364743,4,,,,0.0,Insufficient Data
397,10.55,2.3839742727918294,4,,,,0.0,Insufficient Data
335,10.55,1.8734993995195197,4,,,,0.0,Insufficient Data
32,10.575,8.464583076954627,4,,,,0.0,Insufficient Data
516,10.575,2.170061443062538,4,,,,0.0,Insufficient Data
303,10.6,8.436033823229176,4,,,,0.0,Insufficient Data
424,10.600000000000001,5.223664103545199,4,,,,0.0,Insufficient Data
620,10.65,1.563116545025781,4,,,,0.0,Insufficient Data
547,10.725,4.362243306679106,4,,,,0.0,Insufficient Data
40,10.725,5.476236542249309,4,,,,0.0,Insufficient Data
367,10.725,7.2117381168943355,4,,,,0.0,Insufficient Data
30,10.725000000000001,7.264697745490402,4,,,,0.0,Insufficient Data
295,10.75,5.699415174676551,4,,,,0.0,Insufficient Data
118,10.75,3.222318006239194,4,,,,0.0,Insufficient Data
337,10.75,4.933220719435394,4,,,,0.0,Insufficient Data
7,10.755555555555555,11.174872606780704,9,0.02631330801803581,0.02734375,8.522222222222222,0.0,Eliminate (Statistically worse)
305,10.775,1.64392822227736,4,,,,0.0,Insufficient Data
71,10.775,12.686311520690323,4,,,,0.0,Insufficient Data
527,10.8,4.4773504069557335,4,,,,0.0,Insufficient Data
581,10.8,9.04028023164474,4,,,,0.0,Insufficient Data
463,10.825,8.722910447016332,4,,,,0.0,Insufficient Data
44,10.825,11.18700883465579,4,,,,0.0,Insufficient Data
469,10.825,6.65450974903486,4,,,,0.0,Insufficient Data
536,10.825000000000001,4.339258769267705,4,,,,0.0,Insufficient Data
401,10.85,7.894512862319837,4,,,,0.0,Insufficient Data
585,10.85,4.4079473681068375,4,,,,0.0,Insufficient Data
293,10.850000000000001,5.153962876596351,4,,,,0.0,Insufficient Data
192,10.875,2.503830398942122,4,,,,0.0,Insufficient Data
447,10.875,2.417126393054364,4,,,,0.0,Insufficient Data
345,10.9,5.0186319517042355,4,,,,0.0,Insufficient Data
334,10.9,6.726068688320096,4,,,,0.0,Insufficient Data
653,10.9,4.818713521262704,4,,,,0.0,Insufficient Data
384,10.925,2.392174742781137,4,,,,0.0,Insufficient Data
224,10.95,8.907861696277058,4,,,,0.0,Insufficient Data
539,10.975,4.229558684622624,4,,,,0.0,Insufficient Data
246,10.975,6.640971314499107,4,,,,0.0,Insufficient Data
468,10.975000000000001,3.069609095634166,4,,,,0.0,Insufficient Data
278,11.0,5.54316395812596,4,,,,0.0,Insufficient Data
86,11.0,10.653637876331258,4,,,,0.0,Insufficient Data
623,11.0,6.76214955961983,4,,,,0.0,Insufficient Data
464,11.025,8.932478192901824,4,,,,0.0,Insufficient Data
406,11.025,2.9635283025474894,4,,,,0.0,Insufficient Data
430,11.05,8.374763678257834,4,,,,0.0,Insufficient Data
594,11.05,5.884159526502773,4,,,,0.0,Insufficient Data
306,11.075,3.335041229130458,4,,,,0.0,Insufficient Data
311,11.075,5.672962189191816,4,,,,0.0,Insufficient Data
327,11.075,4.812050844840829,4,,,,0.0,Insufficient Data
518,11.1,6.073439442907673,4,,,,0.0,Insufficient Data
317,11.125,5.995762392445741,4,,,,0.0,Insufficient Data
54,11.15,3.5594943461115363,4,,,,0.0,Insufficient Data
274,11.175,8.756854458080252,4,,,,0.0,Insufficient Data
391,11.2,1.9798989873223336,4,,,,0.0,Insufficient Data
247,11.225,1.676056880498591,4,,,,0.0,Insufficient Data
208,11.225,4.568278304423523,4,,,,0.0,Insufficient Data
169,11.225,8.114749944802162,4,,,,0.0,Insufficient Data
131,11.25,11.55811403300729,4,,,,0.0,Insufficient Data
74,11.275,6.473214039408861,4,,,,0.0,Insufficient Data
325,11.3,1.246327939722662,4,,,,0.0,Insufficient Data
155,11.3,2.290560339014597,4,,,,0.0,Insufficient Data
475,11.3,1.8129166187849537,4,,,,0.0,Insufficient Data
496,11.3,1.256980508997654,4,,,,0.0,Insufficient Data
610,11.3,3.4785054261852184,4,,,,0.0,Insufficient Data
196,11.325,4.665743956398236,4,,,,0.0,Insufficient Data
375,11.35,10.01881563193308,4,,,,0.0,Insufficient Data
394,11.375,8.31439514737342,4,,,,0.0,Insufficient Data
353,11.375,5.528336096873995,4,,,,0.0,Insufficient Data
94,11.375,13.393624105023505,4,,,,0.0,Insufficient Data
414,11.4,3.1612233918743122,4,,,,0.0,Insufficient Data
84,11.4,11.18779096455894,4,,,,0.0,Insufficient Data
364,11.4,5.741660619251775,4,,,,0.0,Insufficient Data
223,11.425,11.132946600069545,4,,,,0.0,Insufficient Data
448,11.45,4.225714929649972,4,,,,0.0,Insufficient Data
340,11.475,3.772156765918759,4,,,,0.0,Insufficient Data
308,11.475,10.230795016354627,4,,,,0.0,Insufficient Data
310,11.475000000000001,7.0811369143662235,4,,,,0.0,Insufficient Data
39,11.5,10.758252646224664,4,,,,0.0,Insufficient Data
503,11.5,6.003887629417016,4,,,,0.0,Insufficient Data
458,11.5,11.481289126226201,4,,,,0.0,Insufficient Data
603,11.5,2.5403411844343533,4,,,,0.0,Insufficient Data
534,11.525,6.192132104533946,4,,,,0.0,Insufficient Data
12,11.528571428571428,10.920121227305474,7,0.024948057261215507,0.0078125,9.114285714285714,0.0,Eliminate (Statistically worse)
115,11.55,6.137589103222861,4,,,,0.0,Insufficient Data
312,11.55,2.0920484379350937,4,,,,0.0,Insufficient Data
147,11.575,3.2066337489647925,4,,,,0.0,Insufficient Data
408,11.575,4.747894270094901,4,,,,0.0,Insufficient Data
90,11.6,9.680564721819348,4,,,,0.0,Insufficient Data
488,11.6,4.492957452131799,4,,,,0.0,Insufficient Data
573,11.6,7.345293277557632,4,,,,0.0,Insufficient Data
269,11.6,5.362213473308699,4,,,,0.0,Insufficient Data
280,11.625,3.43256463886698,4,,,,0.0,Insufficient Data
13,11.642857142857142,11.939968892038921,7,0.04707513589589576,0.078125,9.228571428571428,0.0,Consider Eliminating
413,11.675,4.650716790632027,4,,,,0.0,Insufficient Data
290,11.7,6.99571297295708,4,,,,0.0,Insufficient Data
